正面,背面
El perro de mi vecino ladra todas las noches.,邻居家的狗每晚都叫。
Voy a comprar un libro de español en la librería.,我要去书店买一本西语书。
Los estudiantes de esta clase siempre llegan puntuales.,这个班的学生总是很准时。
Unas amigas vienen a cenar a casa esta noche.,今晚有几位女性朋友来家里吃晚饭。
En mi barrio hay muchos árboles y un parque pequeño.,我住的街区有很多树，还有一个小公园。
En la nevera hay solo un poco de leche.,冰箱里只剩一点牛奶。
En esta clase hay veinte estudiantes.,这个班有二十个学生。
Hay que estudiar todos los días si quieres mejorar.,如果你想进步，就必须每天学习。
Tengo que levantarme a las seis mañana porque tengo una reunión temprana.,我明天必须六点起床，因为一大早有个会议。
No puedo ir al cine hoy porque trabajo hasta tarde.,我今天不能去看电影，因为要加班到很晚。
Quiero aprender español para viajar por Latinoamérica.,我想学西语，好去拉美旅行。
Necesitamos hablar de este problema con calma.,我们需要冷静地谈一谈这个问题。
¿Qué haces ahora mismo?,你现在这会儿在干什么？
¿Qué tiempo hace hoy en Madrid?,马德里今天天气怎么样？
Desde hace dos días suelo quedarme hasta tarde en el trabajo.,两天前，我经常加班到很晚。
Hace un año empecé este curso.,一年前，我开始上这个课。
Hace dos días que no lo veo en la oficina.,我在办公室已经两天没见到他了。
El 30% de los estudiantes aprobó el examen final.,30% 的学生通过了期末考试。
Hay un descuento del 20 por ciento en la tienda de la esquina hoy.,今天街角那家店有 20% 的折扣。
el primer día.,第一天。
la segunda planta.,第二层。
el tres de mayo.,五月三日。
¿Qué día comemos?,我们哪天吃饭？
¿Qué hora es?,几点了？
¿Tienes hora?,几点了？
¿Qué hora tiene?,几点了？
¿Tienes reloj?,你有手表吗？
¿A qué hora comemos en la cafetería? Comemos a la una.,我们几点在食堂吃饭？我们一点吃。
Es hora de comer; vamos al comedor.,是时候吃饭了，我们去食堂吧。
Trabajo de las ocho a las cinco en la oficina.,我从八点工作到五点。
Trabajo de mayo a octubre en el mismo horario.,我从五月到十月都上班，作息时间不变。
Por la tarde estudio.,我下午学习。
A las tres de la tarde.,下午三点。
Por la tarde descanso.,我下午休息。
Estudio todas las tardes.,我每天下午学习。
Estudio toda la tarde.,我学习一整个下午。
Llegué tarde al trabajo esta mañana.,我今天早上上班迟到了。
Carlos siempre viene muy tarde a las reuniones.,卡洛斯开会总是来得很晚。
¿Qué haces ahora?,你现在在干什么？
¿Qué es él?,他是做什么工作的？
¿Qué hora es ahora?,现在几点了？
¿Qué hora tiene ahora?,现在几点了？
¿Qué día es hoy / mañana?,今天/明天是星期几？
¿En qué mes estamos?,现在/今天是几月？
¿A qué día estamos hoy / mañana?,今天/明天是几月几日？
¿Qué tiempo hace hoy en la ciudad?,这座城市今天天气怎么样？
¿Qué le parece este plan?,您觉得这个计划怎么样？
¿Quién es ella en esta reunión?,这场会议里的那个女人是谁？
"¿Quién eres tú, por favor?",请问你是谁？
¿Cómo te llamas?,你叫什么名字？
Me llamo ....,我叫胡安
¿Cuántos libros tienes?,你有多少本书？
Tengo ... libros.,我有8本书。
¿Dónde está él?,他在哪里？
¿Adónde vas?,你去哪里？
¿De dónde es él?,他是哪里人？
Soy de China.,我来自中国。
Soy china.,我是中国人。
¿Por qué estudias español? Porque me gusta España.,你为什么学西班牙语？因为我喜欢西班牙。
"Como estoy cansado, no salgo a la calle.",因为我很累，所以我不去街上。
¿Qué estudias? Estudio español.,你学什么？我学西班牙语。
¿Cuándo estudias? Estudio por la mañana.,你什么时候学习？我每天早上学习。
¿A qué hora estudias?Estudio a las ocho.,你几点学习？我八点学习。
¿Cuál de los muchachos es su hermano?,哪个男孩是您的兄弟？
¿Cuál es tu coche?,哪个是你的车？
¿Con cuál de las jóvenes quieres hablar?,你想和哪个女孩交谈？
Quiero un libro de gramática para el curso.,我想要一本用于课程的语法书。
Quiero leer ese libro esta noche.,今晚我想读那本书。
Quiero mucho a mi hijo porque siempre me escucha atentamente.,我非常爱我的儿子，因为他总是认真听我说话。
"Prefiero la primavera al invierno, porque ya no hace tanto frío.",我更喜欢春天而不是冬天，因为春天没那么冷。
Prefiero estar en casa este fin de semana.,这个周末我更想待在家里。
Prefiero comprar verduras en el mercado del barrio.,我更喜欢在本地市场买蔬菜。
"Empiezo a estudiar a las ocho de la mañana, antes de ir a trabajar.",我早上八点先学习，然后再去上班。
Empiezo a estudiar por la mañana cuando termino el desayuno.,我上午早餐吃完之后开始学习。
Empiezo a estudiar en cuanto tengo tiempo libre.,只要我有空闲时间，我就会学习。
Cierro la tienda a las nueve de la noche.,我晚上九点关店。
Puedo ayudarte con la tarea ahora mismo.,我现在可以帮你做作业。
Querer es poder.,有志者事竟成。
Acuesto al niño en la cama después de cenar.,我吃完晚饭后把孩子哄上床睡觉。
Encuentro la llave en el cajón del escritorio.,我在书桌抽屉里找到了钥匙。
Juego al fútbol los sábados por la mañana.,我每周六上午踢足球。
Juego con mi hermano en el salón después de clase.,下课后我和弟弟在客厅玩。
Juego en el parque cerca de casa.,我在离家不远的公园里玩。
El bibliotecario atiende a los lectores en el mostrador por la tarde.,图书管理员下午在服务台接待读者。
Atiendo bien a los clientes cuando están esperando.,当客户在等的时候，我接待得很好。
"No atiendo mal a nadie, intento ser amable.",我不会对任何人态度不好，我会尽量友善。
Devuelvo el libro a la biblioteca después de leerlo en casa.,我在家把书读完后还给图书馆。
Voy a la biblioteca a pedir algunos libros para el curso.,我去图书馆为课程借几本书。
Pide un café al camarero y lo toma en la terraza.,他向服务员点了一杯咖啡，然后在露台上喝。
"¿Puedo pedirle un favor, por favor?",我可以请您帮个忙吗？
Sirvo en un restaurante del centro por las noches.,我在市中心的一家餐厅上夜班。
Él cena en casa de su médico de familia.,他在他的家庭医生家里吃晚饭。
Esto sirve de mesa en la terraza.,这在露台上当桌子用。
Le sirvo la sopa caliente al cliente.,我给客人盛上热汤。
¿No se sirve usted más sopa antes de irse?,您离开前不再来点汤吗？
Vuelvo a casa después del trabajo.,下班后我就会回家。
Vuelvo de Madrid el domingo por la noche.,我周日晚上从马德里回来。
"Como nadie me contesta, vuelvo a llamar a la puerta del vecino.",因为没人回应我，所以我又去敲了邻居家的门。
No hay tiempo. Volvemos a hablar de esto otro día con calma.,我现在没有时间，我们改天再慢慢谈这件事。
Se volvió loco de alegría cuando recibió la noticia.,收到这个消息时，他高兴得都要疯了。
Muevo la mesa del salón para poder limpiar debajo.,我把客厅的桌子挪开，好打扫下面。
Creía que eso ya estaba resuelto.,我以为那事已经解决了。
"Gracias a su ayuda, resolvimos la cuestión.",多亏您的帮助，我们解决了问题。
Entiendo el problema con el billete: la reserva está en otro correo.,我明白了这个票务问题：预订信息在另一个邮箱里。
No entiendo cómo funciona la audioguía del museo.,我不懂怎么用这套博物馆语音导览。
Divierto a los niños con juegos y dibujos en el parque esta tarde.,我今天下午在公园用游戏和画画让孩子们玩得开心。
Cuelgo el teléfono después de hablar con el médico.,我和医生通完电话就挂断。
El billete de tren cuesta mucho dinero en verano.,夏天的火车票要花很多钱。
Me cuesta dos horas llegar a la oficina cada mañana.,我每天早上花两小时到公司。
Pienso que es mejor irnos ahora.,我认为最好现在走。
Pienso mucho en mi familia.,我常常想起我的家人。
No me gustaban nada las novelas que me recomendaban.,我一点也不喜欢他们推荐给我的那些小说。
¿Necesitan intérprete? Les recomiendo uno de muy buen nivel.,你们需要口译吗？我给你们推荐一位水平很高的口译员。
Pruebo la comida antes de servirla a los invitados.,在把菜端给客人之前，我先尝一口。
Muestro el pasaporte en el control de pasaportes del aeropuerto.,我在机场护照查验处出示护照。
Me duele la cabeza desde esta mañana.,我从今天早上开始就头疼。
Murió ayer en el hospital rodeado de su familia.,他昨天在医院去世，家人都在身边。
Normalmente duermo ocho horas; ¿dormiste bien anoche?,我通常睡八个小时；你昨晚睡得好吗？
Le cuento lo que pasó ayer en la reunión.,我把昨天会议上发生的事讲给他。
Cuento los días que faltan para las vacaciones.,我数一数离假期还有多少天。
No contamos con mucho tiempo para terminar el proyecto hoy.,今天我们没有太多时间完成这个项目。
Aprobé el examen final de español el lunes.,我在周一通过了西班牙语期末考试。
Recuerdo tu nombre y la primera vez que nos vimos.,我记得你的名字，也记得我们第一次见面的情景。
Luis suele ir a la playa los domingos por la mañana.,Luis周日早上经常去海滩。
Solemos pasar juntos el fin de semana en casa de mis padres.,我们周末经常一起去我父母家过。
Acordamos vernos el sábado por la tarde.,我们约好了周六下午见面。
¿Te acuerdas de ese chico alto y fuerte que trabaja con nosotros?,你还记得那个和我们一起工作的又高又壮的男孩吗？
Siento frío en la oficina porque el aire acondicionado está muy fuerte.,我在办公室觉得冷，因为空调开得太强了。
"Lo siento, pero necesito despertarle a usted ahora; es una urgencia.",很抱歉，但我现在必须叫醒你；这是紧急情况。
Voy a la escuela de idiomas.,我去语言学校。
Voy a estudiar español mañana.,我明天要学西班牙语。
Voy a estudiar español en la escuela de idiomas.,我要去语言学校学习西班牙语。
Voy ahí.,我去那里。
Te doy un libro para el curso.,我把课程用的书给你。
Dieron las tres en el reloj de la cocina.,厨房里的钟已经三点了。
Veo una película en el sofá.,我在沙发上看一部电影。
Pongo el libro en la mesa del salón.,我把书放在客厅的桌子上。
En la guardería le pusieron el nombre de Juan al niño.,在幼儿园他们给孩子起名叫 Juan。
El profesor me puso un diez por mi trabajo.,老师因为我的作业给了我十分。
"Pon tu nombre aquí, por favor, en la hoja.",请在这张纸上写下你的名字。
Sé la respuesta del ejercicio.,我知道练习题的答案。
Sé cocinar pasta rápida para cenar.,我会做适合晚餐的速食意面。
Ya sé: mañana nos vemos en la puerta.,我知道了：我们明天在门口见。
Abro el paquete del pedido online.,我打开网上订的包裹。
Te digo la verdad: hoy no puedo salir.,我告诉你真相：我今天不能出门。
Obtuvo el premio del concurso de fotografía del barrio.,他获得了本社区摄影比赛的奖项。
Vengo de la oficina.,我从办公室来。
Vengo a tu casa.,我来你家。
"Conozco a María, mi nueva compañera de trabajo.",我认识玛丽亚，她是我的新同事。
Conozco Madrid porque estuve allí el año pasado.,我了解马德里，因为去年去过。
Nací en Madrid y crecí allí.,我出生在马德里，并在那里长大。
Conduzco un coche automático cuando tengo prisa.,我赶时间时开自动挡车。
Pareces estar un poco mal después de clase.,你看起来在课后有点不舒服。
Esos sofás de la tienda no parecen muy buenos.,这些店里的沙发看起来不太好。
Parece que va a llover pronto en el camino.,好像路上很快就要下雨了。
Le parece muy buena mi idea para la reunión.,我的这个想法在他看来对这次会议很不错。
No me parecen muy interesantes sus novelas por la noche.,他的小说在我看来不太有意思。
Esta película me parece mejor que la de ayer.,今天这部电影在我看来比昨天那部更好看。
"Entonces, te espero a las cuatro de la tarde en la estación, ¿qué te parece?",那么，我下午四点在车站等你，你觉得怎么样？
Ella se parece a su madre en las fotos de infancia.,她在小时候的照片里长得像她母亲。
Me parece bien esta idea para empezar mañana con calma.,我认为这个想法很好，明天就开始做。
No me parece mal que llegues un poco tarde hoy.,我不觉得今天你晚到一点有什么问题。
A mí parece que es mejor así para empezar poco a poco.,在我看来，这样更好，慢慢开始。
Oigo la música desde el balcón del vecino.,我从邻居阳台听到音乐。
Continúo estudiando español en casa por la noche.,我晚上在家继续学西语。
¿Dónde puedo coger la autopista hacia el aeropuerto?,我在哪儿可以上高速去机场？
Cogió el taxi y fue a ver al médico con prisa.,他急着打车去看医生。
El joven cogió el periódico gratis del metro y empezó a leer.,年轻人从地铁里拿起免费报纸开始读。
Dirijo la orquesta en el ensayo de esta semana.,我在本周排练中指挥乐团。
Dirigió la pregunta a mí en la reunión.,他在会议上问我问题。
Dirigimos hacia el centro por la calle Mayor para llegar al teatro.,我们去剧院沿着 Mayor 街往市中心走。
Nos dirigimos a Madrid en coche.,我们开车去马德里。
Corrijo los ejercicios de gramática después de clase.,我在下课后批改语法练习。
El profesor corrigió los exámenes el viernes por la tarde.,老师周五下午批改了试卷。
Ando por el parque con mi perro.,我带着狗在公园散步。
Ayer anduve mucho porque fui andando al trabajo.,昨天我走了很多路，因为我步行去上班。
He comido.,我已经吃过了。
Hoy he estudiado mucho.,今天我已经学了很多。
¿Has estado alguna vez en España?,你曾经去过西班牙吗？
Nunca he viajado solo.,我从来没一个人旅行过。
Ahora estoy estudiando español.,现在我正在学西班牙语。
¿Qué estás haciendo? Estoy leyendo.,你在做什么？我在看书。
Estos días estoy trabajando en un proyecto nuevo.,这几天我正在做一个新项目。
"Aunque está lloviendo, seguimos trabajando.",虽然在下雨，但我们仍继续工作。
Seguimos trabajando aunque está lloviendo.,虽然在下雨，但我们仍继续工作。
"A pesar de estar lloviendo, seguimos trabajando.",尽管在下雨，我们仍继续工作。
Seguimos trabajando a pesar de estar lloviendo.,尽管在下雨，我们仍继续工作。
"Pese a que está lloviendo, seguimos trabajando.",虽然在下雨，我们仍继续工作。
Ayer comí con mis amigos después de clase.,昨天课后我和朋友一起吃了饭。
El año pasado viajé a España con mi familia.,去年我和家人一起去西班牙旅行了。
Era muy feliz en casa de mis abuelos.,我当时在爷爷奶奶家很幸福。
Iba al cine cada semana con mi hermano.,我那时每周都和弟弟去电影院。
Siempre le veía en el parque por la tarde.,我那时傍晚总在公园见到他。
"Cuando era niño, vivía en el campo.",我小时候住在乡下。
Leía un libro cuando sonó el teléfono.,我正在看书，这时电话响了。
"Cuando llegué a la estación con mi maleta, el tren ya había salido.",当我拎着行李到车站时，火车已经开走了。
"Ella nunca había viajado al extranjero antes de 2010, hasta que ganó una beca.",在2010年之前，她从没出过国；直到她赢得了一份奖学金。
Mañana estudiaré español por la tarde en la biblioteca.,明天下午我会在图书馆学西班牙语。
Serán las ocho cuando lleguemos al centro.,我们到市中心的时候，大概就八点了。
"Para entonces, ya habré terminado el trabajo en la oficina.",到那时，我就已经在办公室把工作做完了。
Ya habrá llegado a casa; le envié un mensaje y está en línea.,他现在大概已经到家了；我发了消息，他显示在线了。
"Si tuviera tiempo, viajaría más este año.",如果有时间，我今年会多旅行。
¿Podrías ayudarme con este equipaje?,你能帮我拿一下这个行李吗？
"Dijo que llegaría a las ocho, pero todavía no ha llegado.",他说他会在八点到，但他现在还没到。
"Si hubiera estudiado más aquella semana, habría aprobado el examen.",如果那周我更用功一些，我就会通过考试的。
Quiero que vengas mañana a cenar conmigo.,我希望你明天来和我一起吃晚饭。
Es importante que estudies todos los días en la biblioteca.,你每天在图书馆学习很重要。
Te llamo antes de que salgas del trabajo.,我在你下班前给你打电话。
"Me lo das ahora, por favor.",你现在把它给我，好吗？
"Dámelo ahora, por favor.",你现在把它给我，好吗？
Ahora estoy estudiando español en casa después de cenar.,我晚饭后在家学西班牙语。
¿Qué estás haciendo ahora? Estoy leyendo en el tren de camino a casa.,你现在在做什么？我在坐车回家的路上看书。
Estos días estoy trabajando en un proyecto nuevo en la oficina.,这几天我在办公室做一个新项目。
Aprendí español viviendo en Madrid con una familia anfitriona.,通过住在马德里并和寄宿家庭一起生活，我学会了西语。
Entró en la habitación hablando por teléfono con su jefa.,他一边和老板通电话一边走进房间。
Caminaba por la calle pensando en sus problemas sin mirar el móvil.,他一边走在街上，一边想着自己的问题，手机也没看。
Él sigue estudiando español en casa.,他还在家继续学西语。
Voy aprendiendo poco a poco en el metro.,我在地铁里学会一点点西语。
Llevo dos años estudiando español y ya puedo pedir comida.,我已经学西语两年了，也能点餐了。
Vi la película en el cine el viernes.,我周五在电影院看了这部电影。
"Cuando llegué a la oficina, ya había salido.",当我到办公室时，他已经离开了。
La casa fue construida en 1990 en las afueras.,这房子建于1990年，在郊外。
Los libros fueron escritos por Cervantes hace siglos.,这些书是塞万提斯在几个世纪前写的。
Nos abrazamos después del partido.,比赛结束后，我们互相拥抱。
Se conocen desde hace años y se saludan siempre en el gimnasio.,他们认识很多年了，而且总在健身房见面打招呼。
Los niños se pelean por el balón en el patio.,孩子们在操场上因为球而打架。
Se vende este piso con vistas al parque.,这套公寓出售，能看到公园景色。
El español se habla aquí en todas las clases.,这里的所有课都讲西班牙语。
Se venden pisos céntricos.,市中心的公寓正在对外出售。
Se buscan camareros para el restaurante nuevo.,新开的餐厅正在招聘服务员。
Se pueden vender pisos.,公寓可以被出售。
Pisos pueden venderse.,公寓可以被出售。
Se va a vender este piso.,这套公寓将要被出售。
Este piso va a venderse.,这套公寓将要被出售。
Se vive bien aquí porque hay transporte y calma.,这里（人们）生活得很好，因为有交通也很安静。
Se trabaja mucho en esta empresa durante el verano.,在这家公司（人们）夏天工作得很辛苦。
Se dice que va a llover esta tarde.,（人们）说今天下午要下雨。
Llaman a la puerta y yo abro.,（有人）在敲门，我来开门。
Dicen que va a llover mañana.,（人家）说明天要下雨。
Se puede vivir bien aquí.,这里可以生活得很好。
Aquí puede vivirse bien si te gusta caminar.,这里可以生活得很好，只要你喜欢走路。
Se debe trabajar mucho.,（一般人）应该多工作。
Debe trabajarse mucho para cumplir el plazo.,（一般人）应该多工作，确保按时完成。
Me pruebo estos zapatos en la tienda.,我在店里试穿这双鞋。
Voy a probarme estos zapatos en la tienda antes de comprarlos.,我准备在店里先试穿这双鞋再买。
Me levanto a las siete para ir a clase.,我七点起床去上课。
Me acuesto temprano porque mañana tengo trabajo.,我要早点睡，因为明天我还有工作。
Hay que lavarse las manos antes de comer en casa.,在家吃饭前必须洗手。
Yo me lavo con agua fría en la ducha.,我用冷水洗澡。
Me afeito por la mañana antes de salir al trabajo.,我早上刮完胡子就出门上班。
Se queja del trabajo en la oficina.,他在办公室抱怨工作。
Me quejo de la comida del restaurante.,我抱怨餐厅的饭菜。
Me matriculo en la universidad.,我注册在大学。
La ciudad se encuentra en el centro de China.,这座城市位于中国中心。
"Hoy me encuentro muy mal, creo que estoy enfermo.",今天我感觉很不好，我想我生病了。
Me encontré con mi amigo en el parque.,我在公园遇到了我的朋友。
Me quito el abrigo.,我脱掉外套。
No te preocupes de eso.,别为那事操心。
Me preocupo por el futuro.,我为未来担心。
Se preocupa por el medio ambiente.,他对环境持续关注。
Me alegro de conocerte.,我很高兴认识你。
Me alegro con la buena noticia.,我因为好消息而高兴。
En la reunión cancelaron el plan y todos se pusieron tristes.,会议上取消了计划，大家都变得难过了。
Ponte alegre y sonríe: hoy salimos a cenar.,开心点，笑一笑：今天我们出去吃晚饭。
Me pongo el abrigo porque hace frío en la calle.,我穿上外套，因为外面冷。
Nos disponíamos a salir de casa cuando empezó a llover.,我们正要从家里出门时开始下雨了。
Me dispongo para vivir en otra ciudad y empiezo a buscar piso.,我准备去另一座城市生活，并开始找房子。
Se dispusieron a trabajar en cuanto llegó el jefe.,老板一到，他们就准备开始工作。
Me dirijo a la taquilla para comprar el billete del tren.,我朝售票窗口走去买火车票。
Se dirigió a mí y me preguntó qué hora era.,他朝我走过来问我现在几点了。
En el campus nos desplazamos en bicicleta cuando hace buen tiempo.,天气好的时候，我们在校园里骑自行车出行。
Tiene que desplazarse cada día desde su pueblo aquí para trabajar.,他每天都得从家乡来到这里上班。
Me traslado a Madrid la próxima semana para empezar un nuevo trabajo.,我下周搬到马德里开始新工作。
Se dedica a la literatura y escribe cuentos por la noche.,他从事文学创作，晚上写故事。
Se metió en el sótano para buscar una caja escondida.,他下去地下室寻找一个被藏起来的箱子。
No te metas en lo que no te importa.,别管跟你无关的事。
El gato se escondió detrás de la cortina cuando oímos la puerta.,当我们听到门响时，猫躲到了窗帘后面。
No te muevas mientras te hago la foto.,拍照的时候别动。
Se movió sigilosamente por la habitación buscando su juguete.,他悄悄在房间里走动，找他的玩具。
Es importante estudiar antes del examen.,在考试前学习很重要。
Es importante que estudies esta noche.,今晚你学习很重要。
¿Qué te pasa? ¿Por qué no contestas?,你怎么了？为什么不回消息？
¿Qué le pasa a Mario? Está raro hoy.,Mario 怎么了？他今天怪怪的。
¿Cómo te va el trabajo en la oficina?,你在办公室工作得怎么样？
"No es un libro, sino una revista sobre cocina.",这不是一本书，而是一本关于烹饪的杂志。
No tengo tiempo ni dinero para salir hoy.,我今天既没有时间也没有钱出去玩。
Ni él ni ella vinieron a la reunión.,他和她都没来参加会议。
Tengo que llegar antes de las nueve al trabajo.,我必须在九点前到公司上班。
No me hace falta tu ayuda ahora.,我现在不需要你的帮助。
Hace falta estudiar más para aprobar.,需要多学点才能通过考试。
Vamos a tardar dos días en terminar el trabajo del proyecto.,我们将用两天时间完成项目的工作。
No va a venir hasta las nueve porque tiene otra reunión.,他直到九点才来，因为他还有别的会议。
No tengo más que un libro de gramática para estudiar.,我只有一本语法书可以学习。
El cuaderno está al lado de la mesa del profesor.,笔记本在讲桌旁边。
¿Cómo se llama el joven que está a la izquierda del profesor en la foto?,照片里在老师左边的那个年轻人叫什么名字？
"A finales de año, viajo con mi familia.",在年末，我和家人一起旅行。
Te doy estos apuntes a cambio de que me ayudes a estudiar.,我把这些笔记给你，作为你帮我学习的交换。
No puedes gastar de esa manera el dinero de tu padre; piensa en el futuro.,你不能那样花你父亲的钱；要为未来打算。
Lo encontré cansado después del trabajo.,我下班后发现他很累。
La dejé sola en casa mientras iba al supermercado.,我去超市时把她一个人留在家里。
"En la reunión, lo eligieron presidente del club.",他们在会议上选他当俱乐部主席。
"Al final, lo eligieron a Juan como presidente de la asociación.",最后，他们选 Juan 当协会主席。
"En el barrio lo llaman Pepe, aunque su nombre es Pedro.",在社区里大家叫他 Pepe，虽然他叫 Pedro。
Te envidio la memoria de verdad; yo siempre olvido las cosas.,我真的很羡慕你的记忆力；我总是把事情忘掉。
Estudio para aprender español de verdad.,我学习是为了真正学会西语。
Durante el recreo charlo con mis amigos.,课间我和朋友聊天。
Voy con mi amigo al cine.,我和我的朋友去电影院。
Voy contigo al parque.,我和你一起去公园。
Ven conmigo.,你和我一起来。
El café con leche está calentito.,加牛奶的咖啡很烫。
Llevo el libro conmigo para el trayecto.,我随身带着书，路上看。
Trabajo desde las ocho.,从八点开始工作。
Respondo correos desde Madrid.,我在马德里开始回邮件。
Trabajo hasta las diez.,一直到十点工作。
Viajo hasta Barcelona el viernes.,我周五坐车去到巴塞罗那。
Hablamos sobre la película después de cenar.,我们晚饭后聊电影。
Todos vinieron excepto él.,除了他，所有人都来了。
"Vengo entre las dos y las tres de la tarde, cuando termine la clase.",我下午两点到三点之间来，当下课的时候。
Entre las dos casas hay un jardín pequeño.,两栋房子之间有一个小花园。
Pepe está entre Luis y Paco en la fila.,Pepe在队伍里站在Luis和Paco中间。
No puedes irte así sin decir nada; di al menos adiós.,你不能就这样什么都不说就离开；至少说声再见。
No quiero irme de China sin visitar la Gran Muralla.,我不想离开中国却不参观长城。
"Según el profesor, este libro es clave para el examen.",按照老师的说法，这本书是考试的关键。
"Según cómo lo mires, el problema puede ser fácil o difícil.",要看你怎么看，问题可能很容易也可能很难。
María y Juan estudian español en casa.,玛利亚和胡安在家学西语。
Yo estudio hoy y tú trabajas mañana.,我今天学习，你明天工作。
"Estoy cansado, pero sigo trabajando hasta terminar el informe.",我有点累，但我会继续工作，直到写完报告。
Prefiero el mercado porque hoy las frutas están más frescas.,我更喜欢市场，因为市场的水果更新鲜。
"Pues, vamos a empezar la clase.",那么，我们开始上课吧。
"No fui a la reunión, pues estaba cansado.",我没去参加会议，因为我太累了。
"Pues... la verdad, no sé qué decir.",嗯……说实话，我不知道该说什么。
"Como estoy cansado hoy, no voy a salir.",因为我今天累了，所以我不出门。
Es tan alto como su hermano en la foto.,他和照片里的他兄弟一样高。
Habla tan rápido como yo cuando nos ponemos nerviosos.,他讲话速度跟我一样快，尤其是紧张的时候。
La vida no es sosa como imaginan los demás cuando viajan por primera vez.,生活并不像别人第一次旅行时想象的那么无聊。
"Si llueve, nos quedamos en casa.",如果下雨，我们就待在家里。
No voy si llueve.,下雨的话我就不去。
"Aunque esté lloviendo, seguimos trabajando en el proyecto.",虽然在下雨，我们仍在项目上继续工作。
Seguimos trabajando aunque esté lloviendo.,虽然下着雨，我们还是继续工作。
"Aunque es joven, es muy sabio.",尽管他很年轻，但他很聪明。
"Mientras yo estudiaba, mis amigos veían la tele en el salón.",当我在学习时，我的朋友在客厅看电视。
Unos subían al autobús mientras otros bajaban en la siguiente parada.,有的人上公交，有的人则在下一站下车。
"Cuando tengo tiempo libre por la noche, leo en la cama.",当我晚上有空闲时间时，我会在床上读书。
"Al llegar a casa después del trabajo, llamo a mis padres.",下班回到家我就给父母打电话。
"Al llegar la hora de ir al comedor, todos se levantan y van con su bandeja.",一到去食堂的时间，大家就起身拿着托盘走过去。
Voy donde vive mi amigo para dejarle el libro.,我去我朋友住的地方，把书交给他。
Es el pueblo en el que nací y crecí; lo reconozco por la plaza.,这是我出生并成长的小镇；我从广场就能认出来。
Creo que es verdad porque lo explicó mi profesor.,我相信这是真的，因为老师已经解释过了。
La chica que vive aquí es mi hermana; a veces cuida mi gato.,住在这里的那个女孩是我妹妹，她有时会帮我照看猫。
Es importante que estudies hoy para el examen de mañana.,你今天学习很重要，因为明天要考试。
Es que estoy muy cansado después de trabajar todo el día.,我今天上班一整天太累了。
"No voy, es que tengo mucho trabajo y me toca terminarlo hoy.",我不去啦，我这边工作太多了，今天必须做完。
No sé qué hacer con este formulario.,我不知道该拿这份表格怎么办。
